Sample Filename,Language
000kouqjfnk.mp3,Hmong Daw
000w3fewuqj.mp3,Tektiteko
000ylhu4sxl.mp3,Teribe
0014x3zvjrl.mp3,Chipaya
001xjmtk2wx.mp3,KalmykOirat
002hrjhbsnk.mp3,Gidar
002sjun3mz4.mp3,Dutch
003b3pbg4nq.mp3,Konso
003piywvcqx.mp3,Bora
004ll12esqk.mp3,Waiwai
004whep51sd.mp3,Teribe
005deeyzv54.mp3,Nigerian Pidgin
005di1mlw0y.mp3,CandoshiShapra
005edvswgyk.mp3,ShipiboConibo
00a4r2sbnef.mp3,Quechua North Junin
00aoqprhbif.mp3,Tepehua Tlachichilco
00badrrjmwj.mp3,Tobelo
00baul5uact.mp3,Zapotec Sierra de Juarez
00brigb4vdi.mp3,Wichi Lhamtes Nocten Weenhayek
00c3d3fggm3.mp3,Vietnamese
00cthsdzdx5.mp3,Mundari
00d5cb2avfw.mp3,Pampangan
00djhepj4fq.mp3,Chayahuita Shawi
00dsfa2ej2d.mp3,Chinantec de Usila
00erpd0bpkx.mp3,Huambisa
00eyd2oka3j.mp3,Moro
00f5t4qix32.mp3,Aruamu
00fxphxs2my.mp3,Kok Borok
00gc20bfyek.mp3,Huli
00gr0kf5gdr.mp3,KalmykOirat
00igjmrjgry.mp3,Yawa
00j42t3pjvb.mp3,Ignaciano
00jaidm4vsy.mp3,Tuva
00je1iu343n.mp3,Zapotec Isthmus
00juxyzefl3.mp3,Bicolano Central
00k4y5zsrv5.mp3,Javanese
00kbo41tigy.mp3,MofuGudur
00kwatqe3jc.mp3,Pampangan
00lsdppp0rd.mp3,Musgu
00mxh043ovm.mp3,Albanian Tosk
00np3qcklh1.mp3,Wichi Lhamtes Nocten Weenhayek
00qk5kr3p2n.mp3,Dan East
00qqkibmkiv.mp3,Gamo
00qumr13vr4.mp3,Kiche Cunen
00qzfa4g4gt.mp3,Khasi
00sjov4u5vh.mp3,Bekwarra
00skwuklfvm.mp3,Dinka Northeastern
00snixjv3uc.mp3,Dan East
00uhffrv1pk.mp3,Lampung Api
00uhkpyfau5.mp3,Pijin
00ukzemsowx.mp3,Luwo
00unrt4sewt.mp3,Hiligaynon
00vapugwwos.mp3,Albanian Tosk
00vu0qablz3.mp3,Quechua Southern Conchucos Ancash
00w4s1tbnhn.mp3,Shuar
00waqdbgqag.mp3,Paumari
00weq3ozowe.mp3,Alladian
00ydwow4cpw.mp3,Chamacoco
00ywwvulzwa.mp3,Hindi
00zgb20fl2k.mp3,Lao
00zu5bv45zk.mp3,Adiokrou
0105mgqy3j0.mp3,Patamona
010egkjbgco.mp3,Cakchiquel South Central
010xlmmvatb.mp3,Garhwali
012xyosnllp.mp3,Garhwali
0133tjycmif.mp3,Munukutuba
013azyxgnsk.mp3,Kok Borok
014hk5qgt5k.mp3,Anufo
014lbrgsgq4.mp3,Madi
0153zqzfku5.mp3,Duala
015duoook1m.mp3,Tzeltal Bachajon
015gjk3m0ru.mp3,Yali Angguruk
015kp2g023d.mp3,Quechua Eastern
015qhatrwiz.mp3,Kilivila Kiriwina
015rxfcm1hv.mp3,Dinka Northeastern
01aefw4qxir.mp3,Awa PNG
01b1xlxgmrh.mp3,Awa PNG
01b34efgk4q.mp3,Chayahuita Shawi
01gfdvc4tms.mp3,Pijin
01ghlt02ffq.mp3,Mixtec Ayutla
01ifvkuxfgp.mp3,Gidar
01ijokepc0t.mp3,Napu
01jdqwaapya.mp3,Kashinawa
01kax00ongr.mp3,Karakalpak
01kbfx5jjz1.mp3,Ignaciano
01kpr5uttk2.mp3,Carib
01kzrokk5vt.mp3,Gamo
01lhc5uajri.mp3,Polish
01lpjmw3x4d.mp3,Quechua MargosYarowilcaLauricocha
01lwb53yalu.mp3,Konso
01mihdacmlk.mp3,Sasak
01nqkeltm0m.mp3,Oromo Eastern
01nv2emmpd1.mp3,Khasi
01pd0w1exxo.mp3,Bhojpuri
01qcxsvkcki.mp3,Lampung Api
01rfejz2skk.mp3,Ese Ejja
01rjjbm5mtn.mp3,Hindi
01rjl5whaud.mp3,MofuGudur
01rx2x0zkqt.mp3,Ipili
01scvdrmvxa.mp3,Arabic Sudanese Spoken
01srmgwgfiq.mp3,Kui
01sukpx0gv3.mp3,Parecis
01sxbe52134.mp3,Themne
01t3dyggeff.mp3,Mongondow
01tvri4gjoc.mp3,Nahuatl Guerrero
01tzshz4c4t.mp3,Belize Kriol English
01uvej5ir2r.mp3,Ese Ejja
01vdb1xpzfq.mp3,Kashinawa
01vjy3jvp5o.mp3,Hadiyya
01w4dpugjvw.mp3,Tuva
01we5tf4cz0.mp3,Quechua Southern Pastaza
01ws3ee0lu3.mp3,Yali Angguruk
01wtulgjjg3.mp3,Hiligaynon
01xg11ycpye.mp3,Jur Modo
01xpcjogfxd.mp3,Pokoot
01ynmecqhtj.mp3,Belize Kriol English
01yyhxec2cg.mp3,Romanian
01za2azjwoo.mp3,Pampangan
